Assemblies                                         final.contigs
Blastopirellula_marina                             -            
Dasania_marina_DSM_21967                           90           
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  207          
Formosa_algae                                      689          
Gimesia_maris                                      545          
Ilumatobacter_fluminis                             93           
Ilumatobacter_nonamiensis_YM16-303                 88           
Oceanibaculum_pacificum                            -            
Ochrobactrum_grignonense                           -            
Planctomyces_maris_DSM_8797                        545          
Rhodobacteraceae_bacterium_HIMB11                  1467         
Shewanella_amazonensis_SB2B                        -            
Shewanella_woodyi_ATCC_51908                       -            
Sulfitobacter_sp._NAS-14.1                         1485         
Synechococcus_sp._WH_7803                          2489         
Syntrophus_aciditrophicus                          86           
Vibrio_sinaloensis                                 777          
endosymbiont_of_Ridgeia_piscesae                   215          
gamma_proteobacterium_BDW918                       79           
marine_gamma_proteobacterium_HTCC2080              1015         
