Assemblies                                         final.contigs
Blastopirellula_marina                             -            
Dasania_marina_DSM_21967                           4            
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  5            
Formosa_algae                                      18           
Gimesia_maris                                      2            
Ilumatobacter_fluminis                             2            
Ilumatobacter_nonamiensis_YM16-303                 2            
Oceanibaculum_pacificum                            -            
Ochrobactrum_grignonense                           -            
Planctomyces_maris_DSM_8797                        2            
Rhodobacteraceae_bacterium_HIMB11                  11           
Shewanella_amazonensis_SB2B                        -            
Shewanella_woodyi_ATCC_51908                       -            
Sulfitobacter_sp._NAS-14.1                         5            
Synechococcus_sp._WH_7803                          21           
Syntrophus_aciditrophicus                          1            
Vibrio_sinaloensis                                 4            
endosymbiont_of_Ridgeia_piscesae                   3            
gamma_proteobacterium_BDW918                       1            
marine_gamma_proteobacterium_HTCC2080              15           
not_aligned                                        85262        
