Assemblies                                 final.contigs
Aquimarina_sp._22II-S11-z7                 6            
Bacillus_thuringiensis_BMB171              -            
Desulfuromonas_acetoxidans_DSM_684         1            
Formosa_sp._LMG_28520                      5            
Geobacter_pickeringii                      2            
Ilumatobacter_coccineus_YM16-304           12           
Ilumatobacter_fluminis                     15           
Ilumatobacter_nonamiensis_YM16-303         7            
Leisingera_caerulea_DSM_24564              12           
Luminiphilus_syltensis_NOR5-1B             18           
Magnetococcus_marinus_MC-1                 -            
Marivita_cryptomonadis                     9            
Marixanthomonas_ophiurae                   6            
Nitrospina_sp._SCGC_AAA288-L16             7            
Photobacterium_frigidiphilum               3            
Polaribacter_sp._MED152                    2            
Porticoccus_hydrocarbonoclasticus_MCTG13d  1            
Roseovarius_sp._A-2                        11           
Shewanella_amazonensis_SB2B                1            
Spongiibacter_tropicus_DSM_19543           4            
Syntrophus_aciditrophicus                  -            
bacterium_DY22613                          1            
gamma_proteobacterium_SCGC_AB-629-P17      4            
marine_gamma_proteobacterium_HTCC2080      11           
not_aligned                                82171        
