Assemblies                                         final.contigs
Blastopirellula_marina                             -            
Dasania_marina_DSM_21967                           333          
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  509          
Formosa_algae                                      2031         
Gimesia_maris                                      621          
Ilumatobacter_fluminis                             167          
Ilumatobacter_nonamiensis_YM16-303                 169          
Oceanibaculum_pacificum                            -            
Ochrobactrum_grignonense                           -            
Planctomyces_maris_DSM_8797                        621          
Rhodobacteraceae_bacterium_HIMB11                  3262         
Shewanella_amazonensis_SB2B                        -            
Shewanella_woodyi_ATCC_51908                       -            
Sulfitobacter_sp._NAS-14.1                         1801         
Synechococcus_sp._WH_7803                          10194        
Syntrophus_aciditrophicus                          86           
Vibrio_sinaloensis                                 2099         
endosymbiont_of_Ridgeia_piscesae                   509          
gamma_proteobacterium_BDW918                       79           
marine_gamma_proteobacterium_HTCC2080              4171         
