Assemblies                                 final.contigs
Aquimarina_sp._22II-S11-z7                 0            
Bacillus_thuringiensis_BMB171              -            
Desulfuromonas_acetoxidans_DSM_684         0            
Formosa_sp._LMG_28520                      0            
Geobacter_pickeringii                      0            
Ilumatobacter_coccineus_YM16-304           0            
Ilumatobacter_fluminis                     0            
Ilumatobacter_nonamiensis_YM16-303         0            
Leisingera_caerulea_DSM_24564              0            
Luminiphilus_syltensis_NOR5-1B             0            
Magnetococcus_marinus_MC-1                 -            
Marivita_cryptomonadis                     0            
Marixanthomonas_ophiurae                   0            
Nitrospina_sp._SCGC_AAA288-L16             0            
Photobacterium_frigidiphilum               0            
Polaribacter_sp._MED152                    0            
Porticoccus_hydrocarbonoclasticus_MCTG13d  0            
Roseovarius_sp._A-2                        0            
Shewanella_amazonensis_SB2B                0            
Spongiibacter_tropicus_DSM_19543           0            
Syntrophus_aciditrophicus                  -            
bacterium_DY22613                          0            
gamma_proteobacterium_SCGC_AB-629-P17      0            
marine_gamma_proteobacterium_HTCC2080      0            
